Date;Time;Global_active_power;Global_reactive_power;Voltage;Global_intensity;Sub_metering_1;Sub_metering_2;Sub_metering_3
10/1/2007;04:01:00;0.344;0.192;243.280;1.600;0.000;0.000;0.000
10/1/2007;07:21:00;1.778;0.086;237.420;7.400;0.000;0.000;18.000
10/1/2007;10:41:00;1.306;0.000;239.190;5.400;0.000;0.000;18.000
10/1/2007;14:01:00;0.548;0.156;242.050;3.000;0.000;1.000;0.000
10/1/2007;17:21:00;1.294;0.180;239.400;5.400;0.000;0.000;0.000
10/1/2007;20:41:00;2.620;0.000;236.010;11.200;0.000;0.000;17.000
11/1/2007;00:01:00;0.442;0.324;244.810;2.200;0.000;0.000;0.000
11/1/2007;03:21:00;1.324;0.000;244.540;5.400;0.000;0.000;19.000
11/1/2007;06:41:00;0.214;0.000;242.070;1.000;0.000;0.000;0.000
11/1/2007;10:01:00;1.420;0.184;239.230;6.000;0.000;0.000;18.000
11/1/2007;13:21:00;0.230;0.050;243.150;1.000;0.000;0.000;0.000
11/1/2007;16:41:00;2.466;0.246;238.850;10.200;0.000;3.000;18.000
11/1/2007;20:01:00;5.038;0.492;232.300;21.800;0.000;25.000;17.000
11/1/2007;23:21:00;1.320;0.158;243.170;5.400;0.000;0.000;0.000
12/1/2007;02:41:00;0.334;0.142;242.550;1.600;0.000;0.000;0.000
12/1/2007;06:01:00;1.478;0.256;242.490;6.200;0.000;0.000;18.000
12/1/2007;09:21:00;1.372;0.142;240.660;5.600;0.000;0.000;17.000
12/1/2007;12:41:00;0.380;0.254;240.690;1.800;0.000;0.000;0.000
12/1/2007;16:01:00;0.224;0.000;245.630;1.000;0.000;0.000;0.000
12/1/2007;19:21:00;2.188;0.000;237.050;9.200;0.000;0.000;17.000
12/1/2007;22:41:00;1.730;0.116;242.480;7.000;0.000;0.000;0.000
13/1/2007;02:01:00;0.214;0.000;242.440;1.000;0.000;0.000;0.000
13/1/2007;05:21:00;0.312;0.162;243.070;1.400;0.000;0.000;0.000
13/1/2007;08:41:00;5.354;0.372;236.780;22.600;38.000;2.000;17.000
13/1/2007;12:01:00;2.126;0.376;239.010;9.000;0.000;1.000;18.000
13/1/2007;15:21:00;1.816;0.128;244.210;7.400;0.000;0.000;18.000
13/1/2007;18:41:00;1.614;0.166;240.380;6.600;0.000;0.000;0.000
13/1/2007;22:01:00;5.792;0.360;229.460;25.200;0.000;2.000;16.000
14/1/2007;01:21:00;3.672;0.000;236.510;15.400;0.000;0.000;0.000
14/1/2007;04:41:00;0.316;0.142;242.390;1.400;0.000;0.000;0.000
14/1/2007;08:01:00;1.862;0.000;240.960;8.400;0.000;0.000;0.000
14/1/2007;11:21:00;0.924;0.000;239.240;4.400;0.000;1.000;11.000
14/1/2007;14:41:00;1.502;0.114;241.440;6.200;0.000;0.000;17.000
14/1/2007;18:01:00;5.812;0.246;231.480;25.000;0.000;35.000;16.000
14/1/2007;21:21:00;2.102;0.190;237.930;8.800;0.000;0.000;18.000
15/1/2007;00:41:00;1.278;0.000;241.050;5.200;0.000;0.000;18.000
15/1/2007;04:01:00;0.214;0.000;244.000;0.800;0.000;0.000;0.000
15/1/2007;07:21:00;1.906;0.150;241.350;7.800;0.000;0.000;18.000
15/1/2007;10:41:00;1.376;0.116;238.920;5.800;0.000;0.000;18.000
15/1/2007;14:01:00;0.542;0.136;244.260;2.600;0.000;1.000;0.000
15/1/2007;17:21:00;1.366;0.066;239.920;5.800;0.000;0.000;18.000
15/1/2007;20:41:00;3.656;0.170;237.690;15.400;0.000;0.000;18.000
16/1/2007;00:01:00;1.612;0.156;243.250;7.000;0.000;23.000;0.000
16/1/2007;03:21:00;0.332;0.142;243.340;1.400;0.000;0.000;0.000
16/1/2007;06:41:00;0.238;0.000;242.520;1.000;0.000;1.000;0.000
16/1/2007;10:01:00;0.336;0.000;243.240;1.600;0.000;0.000;0.000
16/1/2007;13:21:00;0.930;0.272;242.170;4.000;0.000;1.000;0.000
16/1/2007;16:41:00;2.046;0.142;243.120;8.400;0.000;0.000;18.000
16/1/2007;20:01:00;1.718;0.198;239.240;7.400;0.000;0.000;0.000
16/1/2007;23:21:00;0.400;0.050;245.420;1.600;0.000;0.000;0.000
17/1/2007;02:41:00;1.470;0.248;241.410;6.200;0.000;2.000;18.000
17/1/2007;06:01:00;0.226;0.000;241.100;1.000;0.000;0.000;0.000
17/1/2007;09:21:00;2.232;0.338;242.020;9.200;1.000;1.000;18.000
17/1/2007;12:41:00;1.780;0.228;242.930;7.400;0.000;0.000;18.000
17/1/2007;16:01:00;1.984;0.000;244.560;8.000;0.000;1.000;18.000
17/1/2007;19:21:00;2.696;0.000;235.730;11.400;0.000;0.000;0.000
17/1/2007;22:41:00;1.642;0.136;243.110;6.800;1.000;0.000;19.000
18/1/2007;02:01:00;0.316;0.140;243.440;1.400;0.000;0.000;0.000
18/1/2007;05:21:00;0.214;0.000;242.990;0.800;0.000;0.000;0.000
18/1/2007;08:41:00;1.254;0.000;237.390;5.200;0.000;0.000;17.000
18/1/2007;12:01:00;0.478;0.362;239.010;2.400;0.000;2.000;0.000
18/1/2007;15:21:00;0.332;0.142;243.080;1.400;0.000;0.000;0.000
18/1/2007;18:41:00;2.686;0.000;237.290;11.200;0.000;0.000;17.000
18/1/2007;22:01:00;1.520;0.122;238.570;6.400;0.000;0.000;17.000
19/1/2007;01:21:00;0.420;0.260;240.640;2.000;0.000;1.000;0.000
19/1/2007;04:41:00;0.330;0.134;239.560;1.400;0.000;0.000;0.000
19/1/2007;08:01:00;2.838;0.166;237.200;12.000;1.000;0.000;18.000
19/1/2007;11:21:00;0.202;0.000;240.330;0.800;0.000;0.000;0.000
19/1/2007;14:41:00;0.456;0.160;244.130;2.000;0.000;0.000;0.000
19/1/2007;18:01:00;0.384;0.260;238.510;1.800;0.000;1.000;0.000
19/1/2007;21:21:00;4.168;0.528;234.680;18.000;0.000;0.000;17.000
20/1/2007;00:41:00;0.694;0.156;242.470;2.800;0.000;0.000;0.000
20/1/2007;04:01:00;0.220;0.000;239.790;1.000;0.000;0.000;0.000
20/1/2007;07:21:00;1.616;0.000;240.510;7.400;0.000;0.000;18.000
20/1/2007;10:41:00;3.750;0.540;231.900;16.200;37.000;1.000;0.000
20/1/2007;14:01:00;3.100;0.342;239.340;13.000;0.000;21.000;17.000
20/1/2007;17:21:00;2.650;0.092;236.520;11.200;0.000;1.000;18.000
20/1/2007;20:41:00;3.834;0.316;236.510;16.200;1.000;2.000;17.000
21/1/2007;00:01:00;2.660;0.074;240.200;11.000;0.000;0.000;0.000
21/1/2007;03:21:00;2.076;0.112;242.370;9.000;0.000;0.000;0.000
21/1/2007;06:41:00;2.310;0.000;241.350;9.400;0.000;0.000;0.000
21/1/2007;10:01:00;3.040;0.076;232.780;13.400;0.000;0.000;16.000
21/1/2007;13:21:00;1.500;0.134;237.310;6.200;0.000;0.000;17.000
21/1/2007;16:41:00;1.268;0.074;239.220;5.200;0.000;0.000;0.000
21/1/2007;20:01:00;4.338;0.194;232.790;19.000;0.000;27.000;16.000
21/1/2007;23:21:00;0.462;0.144;245.070;2.000;0.000;0.000;0.000
22/1/2007;02:41:00;0.404;0.268;245.260;2.000;0.000;1.000;0.000
22/1/2007;06:01:00;1.460;0.120;243.380;6.000;0.000;0.000;18.000
22/1/2007;09:21:00;1.788;0.164;239.930;7.400;2.000;0.000;17.000
22/1/2007;12:41:00;1.384;0.138;240.830;5.800;0.000;0.000;18.000
22/1/2007;16:01:00;1.396;0.140;243.970;5.600;0.000;2.000;18.000
22/1/2007;19:21:00;2.598;0.220;235.640;11.000;0.000;0.000;0.000
22/1/2007;22:41:00;1.580;0.000;245.910;6.400;0.000;0.000;0.000
23/1/2007;02:01:00;0.394;0.000;246.620;1.800;0.000;0.000;0.000
23/1/2007;05:21:00;0.418;0.000;244.230;2.000;0.000;0.000;0.000
23/1/2007;08:41:00;2.898;0.068;240.560;12.000;0.000;0.000;18.000
23/1/2007;12:01:00;0.282;0.098;242.940;1.200;0.000;0.000;0.000
23/1/2007;15:21:00;0.296;0.118;247.260;1.200;0.000;0.000;0.000
23/1/2007;18:41:00;2.492;0.114;241.220;10.400;0.000;0.000;0.000
23/1/2007;22:01:00;2.482;0.136;238.850;10.400;0.000;0.000;0.000
24/1/2007;01:21:00;2.476;0.140;241.500;10.200;0.000;0.000;0.000
24/1/2007;04:41:00;2.484;0.226;241.670;10.200;0.000;1.000;0.000
24/1/2007;08:01:00;5.884;0.088;235.680;25.200;0.000;0.000;17.000
24/1/2007;11:21:00;1.676;0.362;240.210;7.000;0.000;0.000;17.000
24/1/2007;14:41:00;1.522;0.164;244.960;6.200;1.000;0.000;19.000
24/1/2007;18:01:00;2.014;0.224;239.740;8.400;0.000;0.000;0.000
24/1/2007;21:21:00;1.794;0.216;240.150;7.400;0.000;0.000;0.000
25/1/2007;00:41:00;0.328;0.160;246.850;1.400;0.000;0.000;0.000
25/1/2007;04:01:00;0.224;0.000;247.510;1.000;0.000;0.000;0.000
25/1/2007;07:21:00;2.458;0.000;239.200;10.200;0.000;0.000;17.000
25/1/2007;10:41:00;0.208;0.000;241.910;0.800;0.000;0.000;0.000
25/1/2007;14:01:00;0.394;0.000;243.470;1.600;0.000;0.000;0.000
25/1/2007;17:21:00;1.470;0.000;243.860;6.000;0.000;0.000;19.000
25/1/2007;20:41:00;1.956;0.078;241.410;8.200;0.000;0.000;18.000
26/1/2007;00:01:00;0.302;0.126;246.580;1.400;0.000;0.000;0.000
26/1/2007;03:21:00;0.318;0.144;243.800;1.400;0.000;0.000;0.000
26/1/2007;06:41:00;1.608;0.182;242.420;6.600;0.000;0.000;19.000
26/1/2007;10:01:00;0.796;0.102;239.230;3.400;0.000;2.000;0.000
26/1/2007;13:21:00;1.600;0.000;241.880;6.600;0.000;0.000;18.000
26/1/2007;16:41:00;0.320;0.162;248.060;1.400;0.000;0.000;0.000
26/1/2007;20:01:00;1.318;0.000;240.820;5.400;0.000;0.000;0.000
26/1/2007;23:21:00;1.758;0.000;246.460;7.000;1.000;0.000;19.000
27/1/2007;02:41:00;0.230;0.000;244.020;1.000;0.000;0.000;0.000
27/1/2007;06:01:00;0.322;0.144;244.900;1.400;0.000;0.000;0.000
27/1/2007;09:21:00;1.332;0.000;237.340;5.600;0.000;0.000;17.000
27/1/2007;12:41:00;1.516;0.184;237.520;6.400;0.000;0.000;17.000
27/1/2007;16:01:00;2.862;0.110;241.970;12.600;21.000;0.000;18.000
27/1/2007;19:21:00;2.292;0.302;235.790;9.800;0.000;0.000;0.000
27/1/2007;22:41:00;0.594;0.160;244.290;2.600;0.000;1.000;0.000
28/1/2007;02:01:00;2.364;0.050;241.410;9.800;0.000;1.000;0.000
28/1/2007;05:21:00;2.262;0.142;243.550;9.600;0.000;0.000;0.000
28/1/2007;08:41:00;1.430;0.106;242.740;5.800;0.000;0.000;18.000
28/1/2007;12:01:00;4.698;0.366;236.150;20.400;38.000;9.000;17.000
28/1/2007;15:21:00;3.128;0.202;240.680;13.000;38.000;1.000;0.000
28/1/2007;18:41:00;3.192;0.000;235.550;13.400;0.000;0.000;17.000
28/1/2007;22:01:00;1.382;0.136;237.880;5.800;0.000;0.000;0.000
29/1/2007;01:21:00;0.306;0.122;243.950;1.400;0.000;1.000;0.000
29/1/2007;04:41:00;0.326;0.138;244.540;1.400;0.000;0.000;0.000
29/1/2007;08:01:00;2.104;0.152;235.760;8.800;0.000;0.000;17.000
29/1/2007;11:21:00;1.554;0.340;238.470;6.600;0.000;1.000;17.000
29/1/2007;14:41:00;1.446;0.150;241.760;6.000;0.000;0.000;18.000
29/1/2007;18:01:00;1.944;0.104;234.010;8.200;0.000;0.000;17.000
29/1/2007;21:21:00;1.106;0.110;236.510;4.600;1.000;0.000;0.000
30/1/2007;00:41:00;0.240;0.000;243.370;1.000;0.000;0.000;0.000
30/1/2007;04:01:00;0.246;0.000;246.150;1.000;0.000;0.000;0.000
30/1/2007;07:21:00;2.090;0.126;237.690;8.800;0.000;0.000;18.000
30/1/2007;10:41:00;0.240;0.000;241.440;1.000;0.000;0.000;0.000
30/1/2007;14:01:00;0.932;0.268;241.290;4.000;0.000;1.000;0.000
30/1/2007;17:21:00;2.834;0.696;238.900;12.200;0.000;0.000;18.000
30/1/2007;20:41:00;3.398;0.000;235.860;14.400;1.000;0.000;17.000
31/1/2007;00:01:00;0.546;0.058;243.490;2.400;0.000;2.000;0.000
31/1/2007;03:21:00;0.250;0.000;246.120;1.000;0.000;0.000;0.000
31/1/2007;06:41:00;0.256;0.000;242.180;1.000;0.000;0.000;0.000
31/1/2007;10:01:00;1.602;0.000;237.530;6.600;0.000;0.000;17.000
31/1/2007;13:21:00;1.732;0.196;238.270;7.200;0.000;0.000;17.000
31/1/2007;16:41:00;1.440;0.144;243.010;5.800;0.000;0.000;18.000
31/1/2007;20:01:00;1.482;0.112;237.770;6.200;0.000;0.000;18.000
31/1/2007;23:21:00;0.360;0.142;245.050;1.600;0.000;0.000;0.000
1/2/2007;02:41:00;0.436;0.280;245.020;2.000;0.000;0.000;0.000
1/2/2007;06:01:00;1.294;0.000;240.310;5.400;0.000;0.000;17.000
1/2/2007;09:21:00;1.760;0.114;237.170;7.400;1.000;0.000;18.000
1/2/2007;12:41:00;0.310;0.110;241.680;1.400;0.000;0.000;0.000
1/2/2007;16:01:00;0.240;0.000;243.110;1.000;0.000;0.000;0.000
1/2/2007;19:21:00;2.834;0.000;236.320;12.000;0.000;0.000;17.000
1/2/2007;22:41:00;1.608;0.276;242.890;6.600;0.000;1.000;18.000
2/2/2007;02:01:00;0.262;0.000;242.710;1.200;0.000;0.000;0.000
2/2/2007;05:21:00;0.304;0.090;241.760;1.200;0.000;0.000;0.000
2/2/2007;08:41:00;1.356;0.090;239.760;5.600;0.000;1.000;18.000
2/2/2007;12:01:00;0.232;0.000;241.930;1.000;0.000;0.000;0.000
2/2/2007;15:21:00;0.312;0.116;242.600;1.400;0.000;0.000;0.000
2/2/2007;18:41:00;2.140;0.000;238.980;8.800;0.000;0.000;18.000
2/2/2007;22:01:00;0.552;0.088;237.640;2.200;0.000;0.000;0.000
3/2/2007;01:21:00;3.610;0.000;235.210;15.200;0.000;0.000;17.000
3/2/2007;04:41:00;1.932;0.216;239.080;8.800;0.000;0.000;0.000
3/2/2007;08:01:00;2.516;0.248;242.380;10.400;0.000;1.000;0.000
3/2/2007;11:21:00;1.426;0.118;240.140;5.800;0.000;0.000;17.000
3/2/2007;14:41:00;3.484;0.378;241.190;14.800;2.000;27.000;17.000
3/2/2007;18:01:00;2.980;0.128;236.500;12.600;0.000;0.000;17.000
3/2/2007;21:21:00;2.932;0.222;238.530;12.200;0.000;0.000;17.000
4/2/2007;00:41:00;4.976;0.210;239.420;20.800;0.000;1.000;18.000
4/2/2007;04:01:00;2.464;0.204;240.360;10.200;0.000;0.000;0.000
4/2/2007;07:21:00;1.918;0.000;239.110;8.600;0.000;0.000;0.000
4/2/2007;10:41:00;1.516;0.324;238.700;6.400;0.000;2.000;18.000
4/2/2007;14:01:00;2.740;0.212;239.650;11.400;0.000;0.000;18.000
4/2/2007;17:21:00;1.994;0.106;236.860;8.400;0.000;3.000;17.000
4/2/2007;20:41:00;5.202;0.056;233.210;22.200;0.000;0.000;17.000
5/2/2007;00:01:00;0.356;0.086;243.960;1.600;0.000;0.000;0.000
5/2/2007;03:21:00;0.378;0.108;243.670;1.600;0.000;2.000;0.000
5/2/2007;06:41:00;0.290;0.000;244.070;1.200;0.000;0.000;0.000
5/2/2007;10:01:00;1.402;0.104;237.690;5.800;0.000;0.000;18.000
5/2/2007;13:21:00;0.880;0.252;239.080;3.800;0.000;2.000;0.000
5/2/2007;16:41:00;0.720;0.238;243.830;3.000;0.000;0.000;0.000
5/2/2007;20:01:00;0.926;0.142;241.870;4.000;0.000;0.000;0.000
5/2/2007;23:21:00;0.336;0.142;244.780;1.400;0.000;0.000;0.000
6/2/2007;02:41:00;0.302;0.114;242.250;1.400;0.000;2.000;0.000
6/2/2007;06:01:00;0.312;0.096;242.640;1.400;0.000;0.000;0.000
6/2/2007;09:21:00;0.284;0.000;239.170;1.200;1.000;0.000;0.000
6/2/2007;12:41:00;0.392;0.000;245.410;1.800;0.000;0.000;0.000
6/2/2007;16:01:00;0.862;0.222;243.880;3.800;0.000;2.000;0.000
6/2/2007;19:21:00;0.302;0.000;237.950;1.200;0.000;0.000;0.000
6/2/2007;22:41:00;0.324;0.000;242.810;1.400;0.000;0.000;0.000
7/2/2007;02:01:00;0.304;0.112;245.460;1.200;0.000;0.000;0.000
7/2/2007;05:21:00;0.296;0.092;240.920;1.200;0.000;0.000;0.000
7/2/2007;08:41:00;1.512;0.130;241.480;6.200;1.000;0.000;18.000
7/2/2007;12:01:00;2.318;0.364;238.220;9.800;0.000;2.000;17.000
7/2/2007;15:21:00;1.622;0.264;246.150;6.800;0.000;0.000;18.000
7/2/2007;18:41:00;2.228;0.104;236.250;9.400;0.000;0.000;0.000
7/2/2007;22:01:00;3.604;0.202;233.750;15.400;1.000;2.000;17.000
8/2/2007;01:21:00;0.320;0.136;244.070;1.400;0.000;0.000;0.000
8/2/2007;04:41:00;0.318;0.124;241.620;1.400;0.000;0.000;0.000
8/2/2007;08:01:00;2.872;0.062;238.860;12.000;0.000;0.000;18.000
8/2/2007;11:21:00;1.372;0.102;239.170;5.600;0.000;0.000;17.000
8/2/2007;14:41:00;0.232;0.000;246.200;1.000;0.000;0.000;0.000
8/2/2007;18:01:00;1.556;0.000;238.880;6.400;0.000;0.000;17.000
8/2/2007;21:21:00;2.102;0.080;239.200;8.800;1.000;1.000;0.000
9/2/2007;00:41:00;0.390;0.182;241.570;1.800;0.000;0.000;0.000
9/2/2007;04:01:00;0.230;0.000;245.150;1.000;0.000;0.000;0.000
9/2/2007;07:21:00;2.080;0.000;239.070;8.600;0.000;0.000;17.000
9/2/2007;10:41:00;1.400;0.128;241.340;5.800;0.000;0.000;17.000
9/2/2007;14:01:00;1.520;0.266;243.550;6.200;0.000;1.000;18.000
9/2/2007;17:21:00;0.234;0.000;242.930;1.000;0.000;0.000;0.000
9/2/2007;20:41:00;1.840;0.252;241.950;7.600;0.000;2.000;0.000
10/2/2007;00:01:00;0.460;0.278;243.620;2.200;0.000;1.000;0.000
10/2/2007;03:21:00;0.366;0.126;243.740;1.600;0.000;0.000;0.000
10/2/2007;06:41:00;1.340;0.000;241.680;5.400;0.000;0.000;18.000
10/2/2007;10:01:00;2.994;0.166;238.070;12.600;0.000;38.000;0.000
10/2/2007;13:21:00;1.538;0.262;243.230;6.400;0.000;1.000;18.000
10/2/2007;16:41:00;1.330;0.000;241.270;5.400;0.000;0.000;18.000
10/2/2007;20:01:00;5.462;0.206;233.370;23.400;37.000;0.000;17.000
10/2/2007;23:21:00;4.436;0.086;238.660;18.600;0.000;0.000;18.000
11/2/2007;02:41:00;1.788;0.120;242.740;8.400;0.000;0.000;0.000
11/2/2007;06:01:00;3.774;0.222;237.590;15.800;0.000;1.000;0.000
11/2/2007;09:21:00;2.470;0.142;237.880;10.400;0.000;0.000;0.000
11/2/2007;12:41:00;3.678;0.188;239.070;16.000;24.000;2.000;18.000
11/2/2007;16:01:00;0.352;0.092;240.450;1.600;0.000;0.000;0.000
11/2/2007;19:21:00;3.268;0.380;233.020;14.000;0.000;1.000;17.000
11/2/2007;22:41:00;1.454;0.050;241.190;6.000;0.000;0.000;17.000
12/2/2007;02:01:00;0.350;0.090;241.520;1.600;0.000;0.000;0.000
12/2/2007;05:21:00;0.348;0.106;241.550;1.600;0.000;0.000;0.000
12/2/2007;08:41:00;1.448;0.092;238.560;6.000;1.000;0.000;18.000
12/2/2007;12:01:00;1.462;0.194;240.550;6.000;0.000;1.000;18.000
12/2/2007;15:21:00;1.398;0.060;243.260;5.600;0.000;0.000;18.000
12/2/2007;18:41:00;0.774;0.062;236.590;3.200;0.000;0.000;0.000
12/2/2007;22:01:00;1.050;0.140;238.590;4.400;1.000;0.000;0.000
13/2/2007;01:21:00;0.394;0.238;241.270;1.800;0.000;2.000;0.000
13/2/2007;04:41:00;0.218;0.000;241.670;1.000;0.000;0.000;0.000
13/2/2007;08:01:00;1.574;0.000;238.610;6.600;0.000;0.000;17.000
13/2/2007;11:21:00;0.452;0.222;239.420;2.000;0.000;0.000;0.000
13/2/2007;14:41:00;0.768;0.124;245.280;3.200;0.000;0.000;0.000
13/2/2007;18:01:00;1.900;0.048;239.560;7.800;0.000;0.000;18.000
13/2/2007;21:21:00;4.342;0.072;235.710;18.400;0.000;36.000;17.000
14/2/2007;00:41:00;0.422;0.266;244.500;2.000;0.000;1.000;0.000
14/2/2007;04:01:00;0.338;0.128;242.150;1.400;0.000;0.000;0.000
14/2/2007;07:21:00;2.200;0.170;239.920;9.200;0.000;0.000;18.000
14/2/2007;10:41:00;1.324;0.052;239.010;5.400;0.000;0.000;17.000
14/2/2007;14:01:00;2.484;0.280;241.550;10.200;0.000;0.000;18.000
14/2/2007;17:21:00;0.538;0.000;239.740;2.200;0.000;0.000;0.000
14/2/2007;20:41:00;3.654;0.160;235.190;15.600;1.000;0.000;18.000
15/2/2007;00:01:00;0.352;0.128;242.650;1.600;0.000;0.000;0.000
15/2/2007;03:21:00;0.254;0.000;242.890;1.200;0.000;0.000;0.000
15/2/2007;06:41:00;1.694;0.000;242.730;7.000;0.000;0.000;18.000
15/2/2007;10:01:00;1.326;0.000;240.490;5.400;0.000;0.000;17.000
15/2/2007;13:21:00;1.370;0.072;240.450;5.600;0.000;1.000;18.000
15/2/2007;16:41:00;0.578;0.228;242.700;2.800;0.000;1.000;0.000
15/2/2007;20:01:00;3.376;0.366;237.890;14.200;0.000;18.000;17.000
15/2/2007;23:21:00;1.706;0.240;243.730;7.000;0.000;1.000;18.000
16/2/2007;02:41:00;0.692;0.378;246.200;3.400;0.000;1.000;0.000
16/2/2007;06:01:00;2.258;0.100;240.080;9.400;0.000;0.000;18.000
16/2/2007;09:21:00;0.354;0.120;237.610;1.600;0.000;0.000;0.000
16/2/2007;12:41:00;0.362;0.134;240.430;1.600;0.000;0.000;0.000
16/2/2007;16:01:00;0.434;0.250;242.740;2.000;0.000;0.000;0.000
